<<<<<<< HEAD
﻿番号,施設名,住所,電話番号,営業時間,料金,泉質,泉人優待,アクセス,施設サイト
151,船小屋温泉：川の駅船小屋　恋ぼたる　温泉館,筑後市大字尾島298-2,0942-52-8866,10:00～21:00(最終受付 20:30)火曜休（祝祭日が火曜の場合は翌日休）・駐車場：普通車65台・鍵付きロッカーあり（100円リターン式）,70才以上 400円13才以上 600円4才～小学生 300円（2024.3現在）,炭酸水素塩泉,ロゴタオル1枚進呈（本人のみ1回）,JR筑後船小屋駅から徒歩約15分西鉄バス船小屋バス停から徒歩約5分,http://koibotaru.com/,https://www.88onsen.com/spot/detail/hid/151
5,久留米温泉：天然の湯　あおき温泉,久留米市城島町上青木366-1,0942-62-1426,10：00～22：00・水曜休（祝日の場合は営業）・駐車場：普通車80台、大型5台・鍵付きロッカー有り（10円）,大人 600円こども（4歳～中学生）350円（2021.10現在）,塩化物泉,大人入浴料半額（本人のみ1回）,ＪＲ久留米駅から車で約30分青木中津大橋バス停から徒歩約15分,https://ja-jp.facebook.com/あおき温泉-512388555475375/,https://www.88onsen.com/spot/detail/hid/5
192,久留米温泉：いづみ乃湯,福岡県久留米市新合川1-6-30,0942-41-1230,10：00～翌3：0012/31、1/1休・駐車場：普通車70台,"1室60分、1,800円～3,000円一人湯 ￥900（平日18：00までに一人で来場時）（2024.3現在）",硫黄泉,,西鉄久留米駅からタクシーで約10分,http://www.izuminoyu.com,https://www.88onsen.com/spot/detail/hid/192
7,大川温泉：貴肌美人　緑の湯,大川市大字中八院241-1,0944-88-0026,10:00～22:00第2、第4火曜休（ただし、祝日の場合、第4火曜が26日の月は営業）・駐車場：普通車50台・鍵付きロッカーあり（100円、利用後返却）,中学生以上 700円小学生450円3才以上100円（2024.3現在）,炭酸水素塩泉,入浴料無料（本人のみ1回）,ＪＲ羽犬塚駅からタクシーで約12分,https://www.okawaonsen.com,https://www.88onsen.com/spot/detail/hid/7
11,武雄温泉：元湯,武雄市武雄町大字武雄7425,0954-23-2001,6:30～24:00（最終受付23：00）12月中旬に1日休館予定・駐車場：普通車100台・鍵付きロッカーあり（100円、利用後返却）無料貴重品ロッカーあり,大人 500円こども（3才～小学生） 250円（2024.3現在）,単純温泉,,ＪＲ武雄温泉駅から徒歩約15分,http://www.takeo-kk.net/spa/001331.php,https://www.88onsen.com/spot/detail/hid/11
157,熊の川温泉：湯泉郷 温泉館 湯招花,佐賀市富士町大字上熊の川180-1,0952-64-2683,10：00〜20：00火、水曜休（祝日の場合は営業）・駐車場：普通車70台、大型1台・鍵付きロッカーあり,"大人1,400円　こども700円（2024.3現在）",放射能泉,入浴料半額（本人のみ１回）,JR佐賀駅からバスで約40分「熊の川温泉前」下車,http://www.toshoka.net/,https://www.88onsen.com/spot/detail/hid/157
10,古湯温泉：鶴の恩返し よみがえりの宿　鶴霊泉（かくれいせん）,富士町大字古湯875,0952-58-2021,11:00～15:00（最終受付14:00）不定休・駐車場：普通車15台・鍵付きロッカーあり,"60分大人1,000円こども（3～12才）500円貸切湯2,500円（2024.3現在）",単純温泉,大人入浴料 300円引き（本人のみ1回）,ＪＲ佐賀駅から車で約30分佐賀駅バスセンターからバスで約50分　古湯温泉バス停下車、徒歩約3分,https://kakureisen.com/,https://www.88onsen.com/spot/detail/hid/10
150,久留米温泉：湯の坂　久留米温泉,久留米市野中町湯の坂1235,0942-33-4126,10:00～翌1:00（最終受付24:00）無休・駐車場：普通車130台、大型1台・鍵付きロッカーあり,大人800円（土日祝日は880円）小学生：450円　幼児(3才～)200円※3時間以内（2024.3現在）,単純温泉,,JR南久留米駅から徒歩約15分西鉄久留米駅からバスで約5分、湯の坂バス停下車徒歩約5分,http://www.kurume-onsen.com/,https://www.88onsen.com/spot/detail/hid/150
12,嬉野温泉：嬉泉館,嬉野市嬉野町大字下宿乙2202-18,0954-43-0665,10:30～21:00 ※混雑時不可不定休・駐車場：普通車20台・受付で貴重品預かり可,大人 700円こども（3才～12才） 300円（2024.3現在）,炭酸水素塩泉,大人入浴料半額（本人のみ1回）,ＪＲ嬉野温泉駅からバスで約16分嬉野温泉バスセンターから徒歩約3分,https://www.kisenkan.com/,https://www.88onsen.com/spot/detail/hid/12
15,熊の川温泉：元湯 熊ノ川浴場,佐賀市富士町大字上熊の川118,0952-63-0021,9:00～20:30（最終受付20：00）火・金曜休　12/29～1/3休・駐車場：普通車16台・鍵付きロッカーあり（100円）,大人 700円こども 300円※15時～大人500円、こども200円17時～大人300円、こども100円（2024.3現在）,放射能泉,大人700円を500円に（本人のみ1回）,佐賀駅バスセンターからバスで約40分,https://www.fuji-spa.com/onsen/kumanokawa/motoyu/,https://www.88onsen.com/spot/detail/hid/15
130,湯ノ本温泉：山口温泉,長崎県壱岐市勝本町本宮南触400,0920-43-0900,6:30～19:00無休・駐車場：15台、大型2台,公衆浴場大人400円 こども150円 幼児80円家族風呂大人1名利用の場合 800円大人2名以上利用の場合 各700円こども400円 幼児200円（2024.3現在）,塩化物泉,大浴場入湯無料（本人のみ１回）,郷ノ浦港から車で約20分老人ホーム前バス停から徒歩約5分,https://itp.ne.jp/info/424752697400000899/,https://www.88onsen.com/spot/detail/hid/130
19,平戸たびら温泉：サムソンホテル なごみの湯,平戸市田平町野田免２１０―６,0950-57-1110,11:00～23:00（水曜メンテナンスのため15:00～）12/31～1/2は11：00～15：00無休・駐車場：普通車100台、大型5台・鍵付きロッカー有り,【通常】大人 900円こども（4才～12才） 400円（2024.3現在）,含鉄泉,,松浦鉄道たびら平戸口駅からタクシーで約３分,https://www.samson-hotel.jp,https://www.88onsen.com/spot/detail/hid/19
164,長崎温泉：喜道庵,長崎県西彼杵郡長与町岡郷2762-1,095-887-4126,10:00〜21:00第2火曜休・駐車場：50台・鍵付きロッカー有り,"大人1,000円こども（5才～小学生）500円（2024.3現在）",炭酸水素塩泉,,JR長与駅からタクシーで約15分。長崎市内から無料送迎バス有り。,http://kidoan.com/,https://www.88onsen.com/spot/detail/hid/164
165,島原温泉：HOTEL シーサイド島原,島原市新湊1-38-1,0957-64-2000,新館 6：00～12：00、15：00～23：00（最終受付22：00）本館 12：00～23：00（最終受付22：00）第4火曜休(本館偶数月、新館奇数月)・駐車場：普通車100台、大型4台,大人700円 こども400円（小学生未満無料）（2024.3現在）,炭酸水素塩泉,入浴料無料（本人のみ1回）,島原外港から徒歩約10分,https://www.seaside-shimabara.com/spa/,https://www.88onsen.com/spot/detail/hid/165
148,波佐見温泉：はさみ温泉 湯治楼,東彼杵郡波佐見町長野郷558-3,0956-76-9008,10:00～22:00（最終受付21:15）不定休駐車場：70台,大人（中学生以上）700円こども（小学生以上）400円幼児（３歳以上）300円※土日祝日は各50円追加（2024.3現在）,炭酸水素塩泉,,JR有田駅または川棚駅からタクシーで約20分,http://minami-denen.jp/spa,https://www.88onsen.com/spot/detail/hid/148
24,雲仙・小地獄温泉：雲仙小地獄温泉館,雲仙市小浜町雲仙500-1,0957-73-3273,9：30～19：00無休(年末休が1日あり)・駐車場：200台、大型 10台※青雲荘含む・受付で貴重品預かり可,大人 500円こども（4才～小学生） 250円（2024.3現在）,硫黄泉,,JR諫早駅からバスで約75分島原鉄道島原駅からバスで約50分,https://www.seiunso.jp/kojigoku/,https://www.88onsen.com/spot/detail/hid/24
16,唐津・肥前　高串温泉：唐津市肥前町福祉センター,唐津市肥前町田野甲1287-10,0955-54-0282,10：00～20：00毎月1日･15日、12/30・31休・駐車場：普通車35台、大型1台・鍵付きロッカーあり（100円、利用後返却）,大人 600円こども 300円※17時以降大人450円こども220円（2024.3現在）,炭酸水素塩泉,入浴料無料（本人のみ1回）,唐津大手口バスセンター（JR唐津駅から徒歩約5分）から昭和バスで約50分、福祉センター前下車すぐ,https://www.city.karatsu.lg.jp/fukushi/shisetsu/hoken/hizenhukushicenter.html,https://www.88onsen.com/spot/detail/hid/16
175,小浜温泉：旅館國崎,雲仙市小浜町南本町10-8,0957-74-3500,12:00～20：00※混雑時は15：00以降の入浴をお断りする場合がございます。不定休・駐車場：15台・鍵付きロッカー有り,"大人500円　こども300円貸切湯（1部屋）大人1,000円こども500円（2024.3現在）",塩化物泉,,JR諌早駅前バスターミナルからバスで約50分公立小浜病院前バス停から徒歩約3分,https://kunisaki.jp/,https://www.88onsen.com/spot/detail/hid/175
21,小浜温泉：脇浜温泉浴場,雲仙市小浜町南本町7,0957-74-3402,5：00～21：001/1休・駐車場：普通車9台（近隣駐車場有）・受付で貴重品預かり可,大人 200円こども（6才～12才）100円幼児　50円（2024.3現在）,塩化物泉,,ＪＲ諫早駅からタクシーで約50分。小浜体育館前バス停より徒歩約3分,https://obama.or.jp/onsen/wakihama-onsen/,https://www.88onsen.com/spot/detail/hid/21
228,龍神温泉：かやぜの湯,大村市田下町17-3,0957-47-8245,10:30～22:00火・木曜休(祝日は営業),大人(中学生以上)800円、子供(小学生)400円4～5才300円、3才以下100円【御湯印帳提示で】天然水が無料で汲めます(ペットボトル持参),炭酸水素塩泉,入湯券1枚サービス(本人のみ1回),JR新大村駅からタクシーで約3分,http://ilabo.style.coocan.jp/kayazenoyu/index.html,https://www.88onsen.com/spot/detail/hid/228
76,黒川温泉：旅館　山河,阿蘇郡南小国町大字満願寺6961-1,0967-44-0906,8:30～21:00不定休※立ち寄り湯は露天のみ（内湯は宿泊者専用。雨天時除く）・鍵付きロッカーあり（無料）・駐車場あり 普通車30台,大人 600円こども 400円（2024.3現在）,炭酸水素塩泉,,ＪＲ阿蘇駅からタクシーで約40分ＪＲ阿蘇駅から九州横断バスで約50分黒川温泉下車徒歩約25分,https://www.sanga-ryokan.com/,https://www.88onsen.com/spot/detail/hid/76
78,山川温泉：しらはなシンフォニー,阿蘇郡小国町大字北里1346-1,0967-46-3497,11:00～15:00水曜日休（2023.11）・駐車場：10台,"大人 600円こども 300円貸切湯2,500円(大人3名まで)（2024.3現在）",硫酸塩泉,大人入浴料半額（本人のみ1回）,JR阿蘇駅からタクシーで約60分九重ＩＣから車で約20分,https://shirahana.com,https://www.88onsen.com/spot/detail/hid/78
220,阿蘇内牧温泉：雲海薬師温泉,阿蘇市内牧39,0967-32-0116,10：00～21：00無休,大人 300円こども(1才～12才) 100円,硫酸塩泉,,JR阿蘇駅から車で約15分,https://www.unkaiyakushi-onsen.com/,https://www.88onsen.com/spot/detail/hid/220
201,大阿蘇　火の山温泉：どんどこ湯,阿蘇郡南阿蘇村下野135-1,0967-35-1726,11:00～22:00（最終受付21:00）不定休駐車場：普通車150台、大型4台（2024.3現在）,大人630円 こども（3才～小学生）320円（2024.3現在）,硫酸塩泉,,JR赤水駅から徒歩約15分,https://www.dondoko.arden-aso.jp/,https://www.88onsen.com/spot/detail/hid/201
202,垂玉温泉：瀧日和,阿蘇郡南阿蘇村河陽2331,0967-67-0006,10:00～19:00（最終受付18：00）水曜休、第2・第4木曜休駐車場：普通車20台、大型1台,"大人1,000円 特日1,200円小学生500円 特日600円未就学児(3才～)300円 特日400円上記は4/16からの新料金。特日：GW,お盆、紅葉シーズン、年末年始等（2024.3現在）",単純温泉,大人入浴料半額（本人のみ1回）,JR立野駅から車で約15分,https://tarutama.jp,https://www.88onsen.com/spot/detail/hid/202
86,杖立温泉：米屋別荘,阿蘇郡小国町下城4162-4,0967-48-0507,10:00～16:00（最終受付15：00）不定休・駐車場：普通車20台・鍵付きロッカー有り（100円）,"大人 600円こども 400円（0才～小学生）貸切露天2,000円～（1時間1室大人3名まで）1名追加ごと500円増（2024.3現在）",塩化物泉,,ＪＲ日田駅からタクシーで約40分日田ＩＣから車で約40分ＪＲ阿蘇駅からタクシーで約40分,http://komeyabessou.jp/,https://www.88onsen.com/spot/detail/hid/86
219,湯本温泉：奥壱岐の千年湯　平山旅館,壱岐市勝本町立石西触77,0920-43-0016,8：00～17：00（最終受付16：00）19：00～21：00（最終受付20：00）不定休,"大人 800円　小学生 300円　乳幼児 150円家族風呂 3,000円（60分）",塩化物泉,,郷ノ浦本町からバスで約27分国民宿舎前下車、徒歩1分,https://iki.co.jp/onsen.php,https://www.88onsen.com/spot/detail/hid/219
80,岳の湯温泉：豊礼の湯,阿蘇郡小国町西里2917,0967-46-5525,8:00～19:00（最終受付18：00迄）水曜日定休（年末年始、ゴールデンウイーク、お盆 を除く）・駐車場：普通車70台・鍵付きロッカー有り（100円）（2024.7現在）,大人 500円（10/1より600円）こども 200円（2024.3現在）,塩化物泉,,ＪＲ豊後森駅からタクシーで約40分道の駅小国ゆうステーションからタクシーで約15分,http://houreinoyuyado.com/,https://www.88onsen.com/spot/detail/hid/80
81,岳の湯温泉：わいた温泉　ゆけむり茶屋,阿蘇郡小国町大字西里岳の湯2816,0967-46-5750,13:00～21:00（最終受付20：00）木曜休・駐車場：20台、大型 1台・鍵付きロッカー有り,大人 500円こども（6～12才） 250円（2024.3現在）,単純温泉,大人入浴料200円引き（本人のみ1回）,ＪＲ豊後森駅からタクシーで約40分,https://ogunitown.info/tourism/489/,https://www.88onsen.com/spot/detail/hid/81
182,小田温泉：静寂な森の宿 山しのぶ,熊本県阿蘇郡南小国町満願寺5960,0967‐44‐0188,11:00～14:00（最終受付 14:00）不定休※日によって男女共に露天と内湯の入湯が変わります。どちらになるか電話での事前確認のうえご利用ください。・駐車場：普通車13台,大人500円こども300円幼児無料（2024.3現在）,炭酸水素塩泉,大人入浴料半額(本人のみ1回),JR阿蘇駅からタクシーで約40分黒川温泉バスから徒歩約30分、タクシーで約5分,http://yamashinobu.com/,https://www.88onsen.com/spot/detail/hid/182
171,菊池温泉：木立の中の宿 清流荘,菊池市隈府1587-17,0968-24-2155,内湯 10:00～最終受付20:00露天・家族風呂 10:00～最終受付22：00無休（メンテナンス日を除く）・駐車場：30台・鍵付きロッカー有り,"大人600円　こども300円家族湯（1部屋）1,500円（50分）（2024.3現在）",単純温泉,大人入浴料無料（本人のみ1回）,JR肥後大津駅からバスで約60分菊池温泉市民広場前バス停から徒歩約15分,http://www.seiryuusou.com,https://www.88onsen.com/spot/detail/hid/171
72,亀の甲温泉：亀の甲温泉,菊池市泗水町田島1773,0968-38-6510,10:30～22:00家族湯13:00～22:00（最終受付21:00）火曜休(祝日は営業)・駐車場：30台・鍵付きロッカー有り（10円）,"大浴場大人 300円　こども（小学生） 100円家族湯1,200円（60分）（2024.3現在）",炭酸水素塩泉,,ＪＲ植木駅からタクシーで約20分熊本交通センターからバスで約45分、田島経由、岡バス停から徒歩約2分,https://kamenokouonsen.com/,https://www.88onsen.com/spot/detail/hid/72
74,辰頭温泉：辰頭温泉,菊池市泗水町田島620-1,0968-38-3190,6:00～22:00休憩室利用9:00～16:00休日：元旦※年末年始営業時間短縮あり・駐車場：50台・鍵付きロッカー有り,大人 300円こども(小学生) 100円休憩 700円（2024.3現在）,炭酸水素塩泉,,ＪＲ植木駅からタクシーで約20分九州道植木ＩＣより車で約15分,https://tatsugashiraonsen.jimdofree.com,https://www.88onsen.com/spot/detail/hid/74
90,弓ヶ浜温泉　：大洞窟の宿　湯楽亭,上天草市大矢野町上5190-2,0964-56-0536,10:00～15:00(最終受付14:00)18:30～21:00(最終受付20:00)※混雑時は立ち寄り湯のご利用がでいない場合があります。必ず事前にお問合せください。不定休・駐車場：普通車20台、大型2台・鍵付きロッカー有り,大人（中学生以上） 800円小学生 500円幼児（2歳～就学前） 400円,炭酸水素塩泉,珈琲とチョコサービス（本人のみ1回）,JR三角駅からタクシーで約20分,http://yurakutei.jp,https://www.88onsen.com/spot/detail/hid/90
133,山鹿温泉：さくら湯,山鹿市山鹿1番地1,0968-43-3326,6:00～24:00（最終受付23：30）第3水曜休（祝日の場合は翌平日）・駐車場：9台（近隣駐車場有 徒歩1分）・鍵付きロッカー有り（10円）,大人350 円こども（3才～小学生）150 円【御湯印帳提示で】大人のみ50円引（本人のみ）（2024.3現在）,単純温泉,,JR 新玉名駅からバスで約60分熊本交通センターからバスで約90分、山鹿温泉（八千代座入口）バス停下車すぐ,https://yamaga.site//?page_id=1548,https://www.88onsen.com/spot/detail/hid/133
88,地獄温泉：青風荘,阿蘇郡南阿蘇村大字河陽2327,0967-67-0005,10：00～17：00（最終受付15：00）火曜定休（但し、祝日の場合は営業）,"施設利用料　大人2,000円（※湯浴み着、貸バスタオル付）こども(小学生)800円",硫黄泉,入浴料100円引き(本人のみ1回),JR立野駅から車で約20分,http://jigoku-onsen.co.jp,https://www.88onsen.com/spot/detail/hid/88
193,山鹿温泉：新青山荘,熊本県山鹿市新町104,0968-44-0076,13：00～17：00休業日 12/28～1/3・駐車場：7台・受付で貴重品預かり可,大人400円こども（6～12歳）150円（2024.3現在）,単純温泉,大人入浴料半額（本人のみ1回）,山鹿バスセンターから徒歩3分,https://shinseizansou.jp/,https://www.88onsen.com/spot/detail/hid/193
172,植木温泉：旅館 平山,熊本市北区植木町米塚178,096-274-7111,10：00～22：00（最終受付21：00）※16:00～18:00は宿泊者のみ月曜休（祝日の場合は営業、翌火曜休）・駐車場：普通車30台、大型10台・鍵付きロッカーあり（100円、利用後返却）,大人500円　小学生300円  3～6才100円（2024.3現在）,単純温泉,大人入浴料半額（本人のみ1回）,JR植木駅からタクシーで約25分植木温泉バス停から徒歩約3分,http://www.uekionsen.com/,https://www.88onsen.com/spot/detail/hid/172
221,宝田温泉：たからの湯,熊本市北区植木町平井1641,096-273-5558,5：00～22：00（家族湯 6：00～）不定休(年2回休み有),"大人 400円こども 200円マイナスイオンの家族湯 平日1,500円 土日祝日2,000円(60分)（2024年4月）",炭酸水素塩泉,,ＪＲ植木駅からタクシーで約20分植木ＩＣから車で約10分,https://takara-yu.com/,https://www.88onsen.com/spot/detail/hid/221
68,平山温泉：平山温泉　元湯,山鹿市平山256,0968-43-2041,6:00～21:30不定休・駐車場：30台・鍵付きロッカー有り,大人 400円こども(3才以上) 200円（2024.3現在）,単純温泉,,JR新玉名駅からタクシーで約30分山鹿バスターミナルからバスで約20分、平山温泉前下車,https://www.hirayama-onsen.jp/facilities/motoyu/,https://www.88onsen.com/spot/detail/hid/68
208,湯の鶴温泉：喜久屋旅館,水俣市湯出1402,0966-68-0211,8:30～21:00不定休駐車場：普通車10台,"大人300円 こども（6才～12才）200円家族湯1,000円(1時間)（2024.3現在）",単純温泉,入浴料無料（本人のみ1回）,JR新水俣駅から車で約15分水俣ICから車で約15分,https://www.city.minamata.lg.jp/kiji003681/index.html,https://www.88onsen.com/spot/detail/hid/208
152,くにさき六郷温泉：花いろ温泉,大分県豊後高田市美和1335-1,0978-22-1155,10：00～22：00第２・第４水曜休　※祝日の場合は翌日休,"大　人　400円70才以上300円小学生　200円家族湯　2,000円（60分）　※家族湯は要事前予約（2024.3現在）",炭酸水素塩泉,入浴料無料（本人のみ1回）,JR宇佐駅からタクシーで約10分森西口バス停から徒歩約5分,https://www.city.bungotakada.oita.jp/site/showanomachi/1990.html,https://www.88onsen.com/spot/detail/hid/152
64,夷谷温泉：夷谷温泉,豊後高田市夷1851-1,0978-54-2995,10：00～22：00第2第4月曜休（祝日の場合は翌日）,大人400円70才以上300円こども（小学生）200円（2024.3現在）,硫酸塩泉,,ＪＲ宇佐駅からタクシーで約40分,https://www.ebisudani-spa.planning-support.ks-rondo.net/,https://www.88onsen.com/spot/detail/hid/64
183,日奈久温泉：旅館 幸ケ丘,熊本県八代市日奈久上西町394,0965-38-3016,10:00～20:30火曜休・駐車場：10台・受付で貴重品預かり可,大人(中学生以上)500円こども 300円（2024.3現在）,単純温泉,,肥薩おれんじ鉄道日奈久温泉駅から徒歩で約15分,https://hinagu-onsen.jp/distinations/旅館幸ケ丘/,https://www.88onsen.com/spot/detail/hid/183
89,湯浦温泉：亀井荘,葦北郡芦北町大字湯浦66,0966-86-0063,15:00～21:00（日曜～20:00）不定休・駐車場：10台・鍵付きロッカー有り,大人 350円小学生以下 200円（2024.3現在）,単純温泉,,肥薩おれんじ鉄道湯浦駅から徒歩約10分,http://ashikita-kankou.com/introduce/亀井荘/,https://www.88onsen.com/spot/detail/hid/89
83,人吉温泉：華まき温泉,人吉市下原田町嵯峨里1518,0966-22-6981,10:00～20:00無休・駐車場：20台・受付で貴重品預かり可,"大人 400円小学生200円、小学生未満100円貸切湯1,700円（60分）（2024.3現在）",炭酸水素塩泉,オリジナルタオルプレゼント(本人のみ1回),ＪＲ人吉駅からタクシーで約10分,https://hitoyoshikuma-guide.com/2019/02/18/hanamakionsen/,https://www.88onsen.com/spot/detail/hid/83
160,くにさき六郷温泉：真玉 海門温泉,豊後高田市中真玉1778-8,0978-25-5305,15:00〜20:00第2・第4木曜休（祝日は営業）,大人350円こども（4～12才）180円（2024.3現在）,塩化物泉,大人入浴料半額（本人のみ1回）,JR宇佐駅からタクシーで約20分,https://www.city.bungotakada.oita.jp/site/showanomachi/1279.html,https://www.88onsen.com/spot/detail/hid/160
214,湯の児温泉：中村温泉,熊本県水俣市大迫湯の児1213,0966-63-2278  (要事前予約),10：00～20：00不定休・駐車場あり,"1室1,000円(1時間・5人まで）（2024.3現在）",炭酸水素塩泉,大人入浴料半額（本人のみ１回）,JR新水俣駅から車で約10分,,https://www.88onsen.com/spot/detail/hid/214
84,人吉温泉：人吉旅館,人吉市上青井町160,0966-22-3141,8:00～20：00（最終受付19:00）※フロントにてお手続きください※宿泊のお客様が優先となりますので、受付時間内でもお断りする場合がございます。予めご了承ください。また、掃除などの場合も同様とさせていただきます。不定休・駐車場：普通車30台・鍵付きロッカー有り,"大人 1,000円こども(0～12才) 500円※内湯のみの利用（2024.6）",炭酸水素塩泉,大人入浴料200円引き（本人のみ1回）,ＪＲ人吉駅から徒歩約5分人吉ＩＣから車で約6分,http://www.hitoyoshiryokan.com,https://www.88onsen.com/spot/detail/hid/84
209,人吉温泉：相良路の湯 おおが,人吉市灰久保町22-3,0966-22-3601,24時間（10:30～12:00除く）無休駐車場：普通車20台、大型2台鍵付きロッカー（無料）あり,大人350円 こども（3才～小学生）150円（2024.3現在）,硫酸塩泉,,JR人吉駅から徒歩約15分人吉ICから車で約8分,https://yado.ohga-hitoyoshi.com/onsen.html,https://www.88onsen.com/spot/detail/hid/209
184,深耶馬渓温泉：岩戸湯,大分県中津市耶馬溪町大字深耶馬3211,0979-55-2923,10:00～20:00※変更の場合有。要電話問い合わせ。火･水曜休・駐車場：普通車5台,"大人400円こども（3～小学生）200円家族湯として利用時は1時間2,000円（平日のみ男湯、女湯どちらかを1時間貸切可）（2024.3現在）",単純温泉,,JR豊後森駅からバスで約25分、上鴫良下車すぐ,,https://www.88onsen.com/spot/detail/hid/184
36,明礬温泉：みょうばん湯の里,別府市明礬６組,0977-66-8166,10:00～19:00（最終受付 18:00）無休※ただし天候等により変更になる場合あり,"大人 600円こども 300円（4歳～小学生）貸切湯2,000円、2,500円（60分）",硫黄泉,大露天岩風呂　大人入浴料を半額（本人のみ1回）,ＪＲ別府駅からバスで約30分、地蔵湯バス停下車徒歩約3分,http://www.yuno-hana.jp/,https://www.88onsen.com/spot/detail/hid/36
38,亀川温泉：四の湯温泉,別府市亀川四の湯町20-4,なし,"7：00～10：30、14：30～22：00毎月5,15,25日休",大人 200円こども（小学生）100円（2024.3現在）,単純温泉,入浴料無料（本人のみ１回）,ＪＲ亀川駅からタクシーで約5分,https://onsendo.beppu-navi.jp/y67/,https://www.88onsen.com/spot/detail/hid/38
